id,新規,,スキル名,テキスト,SP,種類,,キャラ,下位スキル,確定発動,CT,査定,前提条件,CM順位,LoH順位,条件,CM順位,LoH順位,効果1,効果量1,効果2,効果量2,効果3,効果量3,効果時間,前提条件,CM順位,LoH順位,条件,CM順位,LoH順位,効果1,効果量1,効果2,効果量1,効果3,効果量1,効果時間,
200722,,#REF!,テンポアップ,レース中盤に前の方だと速度がわずかに上がる＜中距離＞,160,白,,,,,500,217,,,,distance_type==3&phase_random==1&order_rate<=50,5位以上,6位以上,目標速度,0.15,,,,,2.4,,,,,,,,,,,,,,200722|テンポアップ
200731,,#REF!,勝利への執念,最終コーナー以降に詰め寄られると速度が上がり、加速力がちょっと上がる＜中距離＞,160,金,,,食い下がり,,500,508,,,,distance_type==3&is_finalcorner==1&overtake_target_time>=2,,,目標速度,0.35,加速,0.1,,,3,,,,,,,,,,,,,,200731|勝利への執念
200732,,#REF!,食い下がり,最終コーナー以降に詰め寄られると速度がわずかに上がり、加速力がほんのちょっと上がる＜中距離＞,160,白,,,,,500,217,,,,distance_type==3&is_finalcorner==1&overtake_target_time>=2,,,目標速度,0.15,加速,0.05,,,3,,,,,,,,,,,,,,200732|食い下がり
200741,,#REF!,クールダウン,レース中盤に息を入れて疲れにくくなる＜長距離＞,160,金,,,深呼吸,,500,508,,,,distance_type==4&phase_random==1,,,回復,0.055,,,,,,,,,,,,,,,,,,,200741|クールダウン
200742,,#REF!,深呼吸,レース中盤に息を入れてわずかに疲れにくくなる＜長距離＞,160,白,,,,,500,217,,,,distance_type==4&phase_random==1,,,回復,0.015,,,,,,,,,,,,,,,,,,,200742|深呼吸
200751,,#REF!,内的体験,最終コーナーで内ラチ側にいると速度が上がる＜長距離＞,160,金,,,内弁慶,,500,508,,,,distance_type==4&is_finalcorner==1&corner!=0&lane_type==0,,,目標速度,0.35,,,,,3,,,,,,,,,,,,,,200751|内的体験
200752,,#REF!,内弁慶,最終コーナーで内ラチ側にいると速度がわずかに上がる＜長距離＞,160,白,,,,,500,217,,,,distance_type==4&is_finalcorner==1&corner!=0&lane_type==0,,,目標速度,0.15,,,,,3,,,,,,,,,,,,,,200752|内弁慶
200761,,#REF!,火事場のバ鹿力,力尽きそうになったとき持久力を回復し速度が上がる＜長距離＞,160,金,,,別腹タンク,,500,508,,,,distance_type==4&hp_per<=30,,,回復,0.055,目標速度,0.35,,,1.8,,,,,,,,,,,,,,200761|火事場のバ鹿力
200762,,#REF!,別腹タンク,力尽きそうになったとき持久力をわずかに回復する＜長距離＞,160,白,,,,,500,217,,,,distance_type==4&hp_per<=30,,,回復,0.015,,,,,,,,,,,,,,,,,,,200762|別腹タンク
200771,,#REF!,トリック（前）,レース中盤に前の方にいると後ろの掛かったウマ娘がわずかに疲れる,140,白,,,,,500,217,,,,phase==1&order_rate<=50&temptation_opponent_count_behind>=1,5位以上,6位以上,回復,-0.01,,,,,,,,,,,,,,,,,,,200771|トリック（前）
200772,,#REF!,見惚れるトリック,レース中盤に前の方にいると後ろの掛かったウマ娘が疲れる,140,金,,,トリック（前）,,500,508,,,,phase==1&order_rate<=50&temptation_opponent_count_behind>=1,5位以上,6位以上,回復,-0.03,,,,,,,,,,,,,,,,,,,200772|見惚れるトリック
200781,,#REF!,トリック（後）,レース中盤に後ろの方にいると前の掛かったウマ娘がわずかに疲れる,140,白,,,,,500,217,,,,phase==1&order_rate>50&temptation_opponent_count_infront>=1,6位以下,7位以下,回復,-0.01,,,,,,,,,,,,,,,,,,,200781|トリック（後）
200791,,#REF!,逃げ駆け引き,作戦が逃げのウマ娘が掛かると落ち着くまで時間がかかる,130,白,,,,,500,174,,,,running_style_temptation_opponent_count_nige>=1&is_temptation==0,,,掛かり時間固定,5,,,,,,,,,,,,,,,,,,,200791|逃げ駆け引き
200801,,#REF!,先行駆け引き,作戦が先行のウマ娘が掛かると落ち着くまで時間がかかる,130,白,,,,,500,174,,,,running_style_temptation_opponent_count_senko>=1&is_temptation==0,,,掛かり時間固定,5,,,,,,,,,,,,,,,,,,,200801|先行駆け引き
200811,,#REF!,差し駆け引き,作戦が差しのウマ娘が掛かると落ち着くまで時間がかかる,130,白,,,,,500,174,,,,running_style_temptation_opponent_count_sashi>=1&is_temptation==0,,,掛かり時間固定,5,,,,,,,,,,,,,,,,,,,200811|差し駆け引き
200821,,#REF!,追込駆け引き,作戦が追込のウマ娘が掛かると落ち着くまで時間がかかる,130,白,,,,,500,174,,,,running_style_temptation_opponent_count_oikomi>=1&is_temptation==0,,,掛かり時間固定,5,,,,,,,,,,,,,,,,,,,200821|追込駆け引き
200831,,#REF!,逃げけん制,レース序盤に作戦・逃げのウマ娘をけん制してわずかに疲れやすくする,130,白,,,,,500,217,,,,running_style_count_nige_otherself>=1&phase_random==0&accumulatetime>=5,,,回復,-0.01,,,,,,,,,,,,,,,,,,,200831|逃げけん制
200841,,#REF!,逃げ焦り,レース中盤に作戦・逃げのウマ娘を焦らせてわずかに疲れやすくする,130,白,,,,,500,217,,,,running_style_count_nige_otherself>=1&phase_random==1,,,回復,-0.01,,,,,,,,,,,,,,,,,,,200841|逃げ焦り
200851,,#REF!,逃げためらい,レース終盤に作戦・逃げのウマ娘をためらわせて速度をわずかに下げる,130,白,,,,,500,217,,,,running_style_count_nige_otherself>=1&phase_random==2,,,現在速度,0.15,,,,,3,,,,,,,,,,,,,,200851|逃げためらい
200861,,#REF!,先行けん制,レース序盤に作戦・先行のウマ娘をけん制してわずかに疲れやすくする,130,白,,,,,500,217,,,,running_style_count_senko_otherself>=1&phase_random==0&accumulatetime>=5,,,回復,-0.01,,,,,,,,,,,,,,,,,,,200861|先行けん制
200871,,#REF!,先行焦り,レース中盤に作戦・先行のウマ娘を焦らせてわずかに疲れやすくする,130,白,,,,,500,217,,,,running_style_count_senko_otherself>=1&phase_random==1,,,回復,-0.01,,,,,,,,,,,,,,,,,,,200871|先行焦り
200881,,#REF!,先行ためらい,レース終盤に作戦・先行のウマ娘をためらわせて速度をわずかに下げる,130,白,,,,,500,217,,,,running_style_count_senko_otherself>=1&phase_random==2,,,現在速度,0.15,,,,,3,,,,,,,,,,,,,,200881|先行ためらい
200891,,#REF!,差しけん制,レース序盤に作戦・差しのウマ娘をけん制してわずかに疲れやすくする,130,白,,,,,500,217,,,,running_style_count_sashi_otherself>=1&phase_random==0&accumulatetime>=5,,,回復,-0.01,,,,,,,,,,,,,,,,,,,200891|差しけん制
200901,,#REF!,差し焦り,レース中盤に作戦・差しのウマ娘を焦らせてわずかに疲れやすくする,130,白,,,,,500,217,,,,running_style_count_sashi_otherself>=1&phase_random==1,,,回復,-0.01,,,,,,,,,,,,,,,,,,,200901|差し焦り
200911,,#REF!,差しためらい,レース終盤に作戦・差しのウマ娘をためらわせて速度をわずかに下げる,130,白,,,,,500,217,,,,running_style_count_sashi_otherself>=1&phase_random==2,,,現在速度,0.15,,,,,3,,,,,,,,,,,,,,200911|差しためらい
200921,,#REF!,追込けん制,レース序盤に作戦・追込のウマ娘をけん制してわずかに疲れやすくする,130,白,,,,,500,217,,,,running_style_count_oikomi_otherself>=1&phase_random==0&accumulatetime>=5,,,回復,-0.01,,,,,,,,,,,,,,,,,,,200921|追込けん制
200931,,#REF!,追込焦り,レース中盤に作戦・追込のウマ娘を焦らせてわずかに疲れやすくする,130,白,,,,,500,217,,,,running_style_count_oikomi_otherself>=1&phase_random==1,,,回復,-0.01,,,,,,,,,,,,,,,,,,,200931|追込焦り
200941,,#REF!,追込ためらい,レース終盤に作戦・追込のウマ娘をためらわせて速度をわずかに下げる,130,白,,,,,500,217,,,,running_style_count_oikomi_otherself>=1&phase_random==2,,,現在速度,0.15,,,,,3,,,,,,,,,,,,,,200941|追込ためらい
200951,,#REF!,大井レース場◎,大井レース場が得意になる,110,白,,,大井レース場○,○,,174,,,,track_id==10101,,,緑(スタ),60,,,,,-0.0001,,,,,,,,,,,,,,200951|大井レース場◎
200952,,#REF!,大井レース場○,大井レース場が少し得意になる,90,白,,,,○,,129,,,,track_id==10101,,,緑(スタ),40,,,,,-0.0001,,,,,,,,,,,,,,200952|大井レース場○
200953,,#REF!,大井レース場×,大井レース場が少し苦手になる,50,白,,,,○,,-129,,,,track_id==10101,,,緑(スタ),-40,,,,,-0.0001,,,,,,,,,,,,,,200953|大井レース場×
200961,,#REF!,短距離直線◎,直線で速度が少し上がる＜短距離＞,110,白,,,短距離直線○,,500,262,,,,distance_type==1&straight_random==1,,,目標速度,0.25,,,,,3,,,,,,,,,,,,,,200961|短距離直線◎
200962,,#REF!,短距離直線○,直線で速度がわずかに上がる＜短距離＞,100,白,,,,,500,217,,,,distance_type==1&straight_random==1,,,目標速度,0.15,,,,,3,,,,,,,,,,,,,,200962|短距離直線○
200963,,#REF!,紫電一閃,直線で速度が上がる＜短距離＞,150,金,,,短距離直線◎,,500,508,,,,distance_type==1&straight_random==1,,,目標速度,0.35,,,,,3,,,,,,,,,,,,,,200963|紫電一閃
200971,,#REF!,短距離コーナー◎,コーナーで速度が少し上がる＜短距離＞,110,白,,,短距離コーナー○,,500,262,,,,distance_type==1&all_corner_random==1,,,目標速度,0.25,,,,,3,,,,,,,,,,,,,,200971|短距離コーナー◎
200972,,#REF!,短距離コーナー○,コーナーで速度がわずかに上がる＜短距離＞,100,白,,,,,500,217,,,,distance_type==1&all_corner_random==1,,,目標速度,0.15,,,,,3,,,,,,,,,,,,,,200972|短距離コーナー○
200973,,#REF!,紫電円刃,コーナーで速度が上がる＜短距離＞,150,金,,,短距離コーナー◎,,500,508,,,,distance_type==1&all_corner_random==1,,,目標速度,0.35,,,,,3,,,,,,,,,,,,,,200973|紫電円刃
200981,,#REF!,圧倒的リード,レース中盤に大きく差をつけ先頭だと速度が上がる＜短距離＞,170,金,,,大きなリード,,500,508,,,,distance_type==1&phase==1&bashin_diff_behind>=3&order==1,1位,1位,目標速度,0.35,,,,,3,,,,,,,,,,,,,,200981|圧倒的リード
200982,,#REF!,大きなリード,レース中盤に大きく差をつけ先頭だと速度がわずかに上がる＜短距離＞,170,白,,,,,500,262,,,,distance_type==1&phase==1&bashin_diff_behind>=3&order==1,1位,1位,目標速度,0.15,,,,,3,,,,,,,,,,,,,,200982|大きなリード
200991,,#REF!,プランX,レース終盤が迫ったとき前の方にいると加速力が上がる＜短距離＞,160,金,,,善後策,,500,508,,,,distance_type==1&phase_laterhalf_random==1&order>=2&order_rate<=50,2～5位,2～6位,加速,0.4,,,,,3,,,,,,,,,,,,,,200991|プランX
200992,,#REF!,善後策,レース終盤が迫ったとき前の方にいると加速力がわずかに上がる＜短距離＞,160,白,,,,,500,217,,,,distance_type==1&phase_laterhalf_random==1&order>=2&order_rate<=50,2～5位,2～6位,加速,0.2,,,,,3,,,,,,,,,,,,,,200992|善後策
201001,,#REF!,準備万全！,レース中盤にしばらくの間コース取りが上手くなり加速力が少し上がる＜短距離＞,140,金,,,仕掛け準備,,500,394,,,,distance_type==1&phase_random==1,,,レーン移動,0.035,加速,0.3,,,4,,,,,,,,,,,,,,201001|準備万全！
201002,,#REF!,仕掛け準備,レース中盤にしばらくの間コース取りが少し上手くなり加速力がわずかに上がる＜短距離＞,140,白,,,,,500,174,,,,distance_type==1&phase_random==1,,,レーン移動,0.025,加速,0.2,,,4,,,,,,,,,,,,,,201002|仕掛け準備
201011,,#REF!,悩殺術,レース序盤に前の方にいると後方のウマ娘が萎縮する＜短距離＞,170,金,,,後方釘付,,500,508,,,,distance_type==1&phase_random==0&order_rate<=50&accumulatetime>=5,5位以上,6位以上,現在速度,0.25,,,,,3,,,,,,,,,,,,,,201011|悩殺術
201012,,#REF!,後方釘付,レース序盤に前の方にいると後方のウマ娘が少し萎縮する＜短距離＞,170,白,,,,,500,262,,,,distance_type==1&phase_random==0&order_rate<=50&accumulatetime>=5,5位以上,6位以上,現在速度,0.2,,,,,3,,,,,,,,,,,,,,201012|後方釘付
201021,,#REF!,逃亡禁止令,レース序盤に後ろの方にいると前方のウマ娘を焦らせ動きを少し鈍くする＜短距離＞,170,金,,,抜け駆け禁止,,500,508,,,,distance_type==1&phase_random==0&order_rate>50&accumulatetime>=5,6位以下,7位以下,回復,-0.03,加速,-0.2,,,1.2,,,,,,,,,,,,,,201021|逃亡禁止令
201022,,#REF!,抜け駆け禁止,レース序盤に後ろの方にいると前方のウマ娘をわずかに焦らせ動きをちょっと鈍くする＜短距離＞,170,白,,,,,500,262,,,,distance_type==1&phase_random==0&order_rate>50&accumulatetime>=5,6位以下,7位以下,回復,-0.01,加速,-0.05,,,1.2,,,,,,,,,,,,,,201022|抜け駆け禁止
201031,,#REF!,マイル直線◎,直線で速度が少し上がる＜マイル＞,110,白,,,マイル直線○,,500,262,,,,distance_type==2&straight_random==1,,,目標速度,0.25,,,,,3,,,,,,,,,,,,,,201031|マイル直線◎
201032,,#REF!,マイル直線○,直線で速度がわずかに上がる＜マイル＞,100,白,,,,,500,217,,,,distance_type==2&straight_random==1,,,目標速度,0.15,,,,,3,,,,,,,,,,,,,,201032|マイル直線○
201033,,#REF!,豪風一閃,直線で速度が上がる＜マイル＞,150,金,,,マイル直線◎,,500,508,,,,distance_type==2&straight_random==1,,,目標速度,0.35,,,,,3,,,,,,,,,,,,,,201033|豪風一閃
201041,,#REF!,マイルコーナー◎,コーナーで速度が少し上がる＜マイル＞,110,白,,,マイルコーナー○,,500,262,,,,distance_type==2&all_corner_random==1,,,目標速度,0.25,,,,,3,,,,,,,,,,,,,,201041|マイルコーナー◎
201042,,#REF!,マイルコーナー○,コーナーで速度がわずかに上がる＜マイル＞,100,白,,,,,500,217,,,,distance_type==2&all_corner_random==1,,,目標速度,0.15,,,,,3,,,,,,,,,,,,,,201042|マイルコーナー○
201043,,#REF!,豪風円刃,コーナーで速度が上がる＜マイル＞,150,金,,,マイルコーナー◎,,500,508,,,,distance_type==2&all_corner_random==1,,,目標速度,0.35,,,,,3,,,,,,,,,,,,,,201043|豪風円刃
201051,,#REF!,ギアチェンジ,レース中盤に前の方にいると速度が上がる＜マイル＞,160,金,,,ギアシフト,,500,508,,,,distance_type==2&phase_random==1&order_rate<=50,5位以上,6位以上,目標速度,0.35,,,,,2.4,,,,,,,,,,,,,,201051|ギアチェンジ
201052,,#REF!,ギアシフト,レース中盤に前の方にいると速度がわずかに上がる＜マイル＞,160,白,,,,,500,217,,,,distance_type==2&phase_random==1&order_rate<=50,5位以上,6位以上,目標速度,0.15,,,,,2.4,,,,,,,,,,,,,,201052|ギアシフト
201061,,#REF!,アクセル全開！,レース後半に追い抜くと加速力が上がる＜マイル＞,160,金,,,アクセラレーション,,500,508,,,,distance_type==2&distance_rate>=50&change_order_onetime<0,,,加速,0.4,,,,,3,,,,,,,,,,,,,,201061|アクセル全開！
201062,,#REF!,アクセラレーション,レース後半に追い抜くと加速力がわずかに上がる＜マイル＞,160,白,,,,,500,217,,,,distance_type==2&distance_rate>=50&change_order_onetime<0,,,加速,0.2,,,,,3,,,,,,,,,,,,,,201062|アクセラレーション
201071,,#REF!,姉御肌,追い抜こうとすると速度が上がる＜マイル＞,120,金,,,負けん気,,500,334,,,,distance_type==2&is_overtake==1&accumulatetime>=5,,,目標速度,0.35,,,,,2.4,,,,,,,,,,,,,,201071|姉御肌
201072,,#REF!,負けん気,追い抜こうとすると速度がわずかに上がる＜マイル＞,120,白,,,,,500,217,,,,distance_type==2&is_overtake==1&accumulatetime>=5,,,目標速度,0.15,,,,,2.4,,,,,,,,,,,,,,201072|負けん気
201081,,#REF!,スピードグリード,レース中盤に前の方にいると後ろの速度を少し奪う＜マイル＞,160,金,,,スピードイーター,,500,461,,,,distance_type==2&phase_random==1&order<=3,3位以上,3位以上,現在速度,0.2,目標速度,0.25,,,3,,,,,,,,,,,,,,201081|スピードグリード
201082,,#REF!,スピードイーター,レース中盤に前の方にいると後ろの速度をわずかに奪う＜マイル＞,160,白,,,,,500,217,,,,distance_type==2&phase_random==1&order<=3,3位以上,3位以上,現在速度,0.15,目標速度,0.15,,,3,,,,,,,,,,,,,,201082|スピードイーター
201091,,#REF!,布陣,レース序盤に後ろにいると前の動きを鈍くする＜マイル＞,160,金,,,布石,,500,508,,,,distance_type==2&phase_random==0&order_rate>50&accumulatetime>=3,6位以下,7位以下,加速,-0.3,,,,,3,,,,,,,,,,,,,,201091|布陣
201092,,#REF!,布石,レース序盤に後ろにいると前の動きをわずかに鈍くする＜マイル＞,160,白,,,,,500,217,,,,distance_type==2&phase_random==0&order_rate>50&accumulatetime>=3,6位以下,7位以下,加速,-0.1,,,,,3,,,,,,,,,,,,,,201092|布石
201101,,#REF!,中距離直線◎,直線で速度が少し上がる＜中距離＞,110,白,,,中距離直線○,,500,262,,,,distance_type==3&straight_random==1,,,目標速度,0.25,,,,,3,,,,,,,,,,,,,,201101|中距離直線◎
201102,,#REF!,中距離直線○,直線で速度がわずかに上がる＜中距離＞,100,白,,,,,500,217,,,,distance_type==3&straight_random==1,,,目標速度,0.15,,,,,3,,,,,,,,,,,,,,201102|中距離直線○
201103,,#REF!,光芒一閃,直線で速度が上がる＜中距離＞,150,金,,,中距離直線◎,,500,508,,,,distance_type==3&straight_random==1,,,目標速度,0.35,,,,,3,,,,,,,,,,,,,,201103|光芒一閃
201111,,#REF!,中距離コーナー◎,コーナーで速度が少し上がる＜中距離＞,110,白,,,中距離コーナー○,,500,262,,,,distance_type==3&all_corner_random==1,,,目標速度,0.25,,,,,3,,,,,,,,,,,,,,201111|中距離コーナー◎
201112,,#REF!,中距離コーナー○,コーナーで速度がわずかに上がる＜中距離＞,100,白,,,,,500,217,,,,distance_type==3&all_corner_random==1,,,目標速度,0.15,,,,,3,,,,,,,,,,,,,,201112|中距離コーナー○
201113,,#REF!,光芒円刃,コーナーで速度が上がる＜中距離＞,150,金,,,中距離コーナー◎,,500,508,,,,distance_type==3&all_corner_random==1,,,目標速度,0.35,,,,,3,,,,,,,,,,,,,,201113|光芒円刃
201121,,#REF!,千里眼,レース序盤に観察力が高まり視野を広く持てる＜中距離＞,110,金,,,ホークアイ,,500,334,,,,distance_type==3&phase_random==0,,,視野,15,,,,,3,,,,,,,,,,,,,,201121|千里眼
201122,,#REF!,ホークアイ,レース序盤に観察力が高まり視野を少し広く持てる＜中距離＞,110,白,,,,,500,129,,,,distance_type==3&phase_random==0,,,視野,10,,,,,3,,,,,,,,,,,,,,201122|ホークアイ
201131,,#REF!,ライトニングステップ,レース中盤にしばらくの間コース取りが上手くなり加速力が少し上がる＜中距離＞,140,金,,,イナズマステップ,,500,394,,,,distance_type==3&phase_random==1,,,レーン移動,0.035,加速,0.3,,,4,,,,,,,,,,,,,,201131|ライトニングステップ
201132,,#REF!,イナズマステップ,レース中盤にしばらくの間コース取りが少し上手くなり加速力がわずかに上がる＜中距離＞,140,白,,,,,500,174,,,,distance_type==3&phase_random==1,,,レーン移動,0.025,加速,0.2,,,4,,,,,,,,,,,,,,201132|イナズマステップ
201141,,#REF!,神業ステップ,左右に移動するとき持久力を回復する＜中距離＞,160,金,,,軽やかステップ,,500,508,,,,distance_type==3&is_move_lane==1&accumulatetime>=10@distance_type==3&is_move_lane==2&accumulatetime>=10,,,回復,0.055,,,,,,,,,,,,,,,,,,,201141|神業ステップ
201142,,#REF!,軽やかステップ,左右に移動するとき持久力をわずかに回復する＜中距離＞,160,白,,,,,500,217,,,,distance_type==3&is_move_lane==1&accumulatetime>=10@distance_type==3&is_move_lane==2&accumulatetime>=10,,,回復,0.015,,,,,,,,,,,,,,,,,,,201142|軽やかステップ
201151,,#REF!,独占力,レース終盤に後ろの方にいると前の速度を下げる＜中距離＞,160,金,,,束縛,,500,508,,,,distance_type==3&phase_random==2&order_rate>50,6位以下,7位以下,現在速度,0.25,,,,,3,,,,,,,,,,,,,,201151|独占力
201152,,#REF!,束縛,レース終盤に後ろの方にいると前の速度をわずかに下げる＜中距離＞,160,白,,,,,500,217,,,,distance_type==3&phase_random==2&order_rate>50,6位以下,7位以下,現在速度,0.15,,,,,3,,,,,,,,,,,,,,201152|束縛
201161,,#REF!,魅惑のささやき,レース中盤にすぐ前のウマ娘を戸惑わせる＜中距離＞,160,金,,,ささやき,,500,508,,,,distance_type==3&phase==1&blocked_front_continuetime>=1,,,回復,-0.03,,,,,,,,,,,,,,,,,,,201161|魅惑のささやき
201162,,#REF!,ささやき,レース中盤にすぐ前のウマ娘をわずかに戸惑わせる＜中距離＞,160,白,,,,,500,217,,,,distance_type==3&phase==1&blocked_front_continuetime>=1,,,回復,-0.01,,,,,,,,,,,,,,,,,,,201162|ささやき
201171,,#REF!,長距離直線◎,直線で速度が少し上がる＜長距離＞,110,白,,,長距離直線○,,500,262,,,,distance_type==4&straight_random==1,,,目標速度,0.25,,,,,3,,,,,,,,,,,,,,201171|長距離直線◎
201172,,#REF!,長距離直線○,直線で速度がわずかに上がる＜長距離＞,100,白,,,,,500,217,,,,distance_type==4&straight_random==1,,,目標速度,0.15,,,,,3,,,,,,,,,,,,,,201172|長距離直線○
201173,,#REF!,烈風一閃,直線で速度が上がる＜長距離＞,150,金,,,長距離直線◎,,500,508,,,,distance_type==4&straight_random==1,,,目標速度,0.35,,,,,3,,,,,,,,,,,,,,201173|烈風一閃
201181,,#REF!,長距離コーナー◎,コーナーで速度が少し上がる＜長距離＞,110,白,,,長距離コーナー○,,500,262,,,,distance_type==4&all_corner_random==1,,,目標速度,0.25,,,,,3,,,,,,,,,,,,,,201181|長距離コーナー◎
201182,,#REF!,長距離コーナー○,コーナーで速度がわずかに上がる＜長距離＞,100,白,,,,,500,217,,,,distance_type==4&all_corner_random==1,,,目標速度,0.15,,,,,3,,,,,,,,,,,,,,201182|長距離コーナー○
201191,,#REF!,先陣の心得,レース中盤に差をつけ先頭だと速度が上がる＜長距離＞,160,金,,,リードキープ,,500,508,,,,distance_type==4&phase_random==1&bashin_diff_behind>=1&order==1,1位,1位,目標速度,0.35,,,,,3,,,,,,,,,,,,,,201191|先陣の心得
201192,,#REF!,リードキープ,レース中盤に差をつけ先頭だと速度がわずかに上がる＜長距離＞,160,白,,,,,500,217,,,,distance_type==4&phase_random==1&bashin_diff_behind>=1&order==1,1位,1位,目標速度,0.15,,,,,3,,,,,,,,,,,,,,201192|リードキープ
201201,,#REF!,VIP顔パス,追い抜く気持ちが湧き疲れにくくなる＜長距離＞,160,金,,,パス上手,,500,508,,,,distance_type==4&is_overtake==1&accumulatetime>=5,,,回復,0.055,,,,,,,,,,,,,,,,,,,201201|VIP顔パス
201202,,#REF!,パス上手,追い抜く気持ちが湧きわずかに疲れにくくなる＜長距離＞,160,白,,,,,500,217,,,,distance_type==4&is_overtake==1&accumulatetime>=5,,,回復,0.015,,,,,,,,,,,,,,,,,,,201202|パス上手
201211,,#REF!,怒涛の追い上げ,レース終盤で追い抜くと速度が上がり加速力がちょっと上がる＜長距離＞,160,金,,,追い上げ,,500,508,,,,distance_type==4&phase==2&change_order_onetime<0,,,目標速度,0.35,加速,0.1,,,3,,,,,,,,,,,,,,201211|怒涛の追い上げ
201212,,#REF!,追い上げ,レース終盤で追い抜くと速度がわずかに上がり加速力がほんのちょっと上がる＜長距離＞,160,白,,,,,500,217,,,,distance_type==4&phase==2&change_order_onetime<0,,,目標速度,0.15,加速,0.05,,,3,,,,,,,,,,,,,,201212|追い上げ
201221,,#REF!,スタミナグリード,レース中盤で後ろの方にいると前方の持久力をわずかに奪う＜長距離＞,160,金,,,スタミナイーター,,500,461,,,,distance_type==4&phase_random==1&order>=5,5位以下,5位以下,回復,-0.01,回復,0.035,,,,,,,,,,,,,,,,,201221|スタミナグリード
201222,,#REF!,スタミナイーター,レース中盤で後ろの方にいると前方の持久力をちょっと奪う＜長距離＞,160,白,,,,,500,217,,,,distance_type==4&phase_random==1&order>=5,5位以下,5位以下,回復,-0.005,回復,0.015,,,,,,,,,,,,,,,,,201222|スタミナイーター
201231,,#REF!,奇術師,レース終盤で前方のウマ娘の視野が狭くなる＜長距離＞,110,金,,,目くらまし,,500,334,,,,distance_type==4&phase_random==2,,,視野,-10,,,,,3,,,,,,,,,,,,,,201231|奇術師
201232,,#REF!,目くらまし,レース終盤で前方のウマ娘の視野が少し狭くなる＜長距離＞,110,白,,,,,500,129,,,,distance_type==4&phase_random==2,,,視野,-5,,,,,3,,,,,,,,,,,,,,201232|目くらまし
201241,,#REF!,逃げ直線◎,直線で速度が少し上がる＜作戦・逃げ＞,140,白,,,逃げ直線○,,500,262,,,,running_style==1&straight_random==1,,,目標速度,0.25,,,,,3,,,,,,,,,,,,,,201241|逃げ直線◎
201242,,#REF!,逃げ直線○,直線で速度がわずかに上がる＜作戦・逃げ＞,130,白,,,,,500,217,,,,running_style==1&straight_random==1,,,目標速度,0.15,,,,,3,,,,,,,,,,,,,,201242|逃げ直線○
201243,,#REF!,陣風一閃,直線で速度が上がる＜作戦・逃げ＞,150,金,,,逃げ直線◎,,500,508,,,,running_style==1&straight_random==1,,,目標速度,0.35,,,,,3,,,,,,,,,,,,,,201243|陣風一閃
201251,,#REF!,逃げコーナー◎,コーナーで速度が少し上がる＜作戦・逃げ＞,140,白,,,逃げコーナー○,,500,262,,,,running_style==1&all_corner_random==1,,,目標速度,0.25,,,,,3,,,,,,,,,,,,,,201251|逃げコーナー◎
201252,,#REF!,逃げコーナー○,コーナーで速度がわずかに上がる＜作戦・逃げ＞,130,白,,,,,500,217,,,,running_style==1&all_corner_random==1,,,目標速度,0.15,,,,,3,,,,,,,,,,,,,,201252|逃げコーナー○
201253,,#REF!,陣風円刃,コーナーで速度が上がる＜作戦・逃げ＞,150,金,,,逃げコーナー◎,,500,508,,,,running_style==1&all_corner_random==1,,,目標速度,0.35,,,,,3,,,,,,,,,,,,,,201253|陣風円刃
201261,,#REF!,シックスセンス,レース序盤に前が詰まるか競り合うとコース取りが上手くなりバ場の真ん中に向かって移動する＜作戦・逃げ＞,110,金,,,危険回避,,500,334,,,,running_style==1&phase==0&blocked_front_continuetime>=1@running_style==1&phase==0&blocked_side_continuetime>=1,,,レーン移動,0.035,レーン移動,0.5,,,3,,,,,,,,,,,,,,201261|シックスセンス
201262,,#REF!,危険回避,レース序盤に前が詰まるか競り合うとコース取りが少し上手くなりバ場の真ん中に向かって移動する＜作戦・逃げ＞,110,白,,,,,500,129,,,,running_style==1&phase==0&blocked_front_continuetime>=1@running_style==1&phase==0&blocked_side_continuetime>=1,,,レーン移動,0.025,レーン移動,0.5,,,3,,,,,,,,,,,,,,201262|危険回避
201271,,#REF!,トップランナー,レース序盤または中盤に追い抜かれるか競り合ったとき速度が上がる＜作戦・逃げ＞,180,金,,,先頭プライド,,500,508,,,,running_style==1&phase<=1&change_order_onetime>0&accumulatetime>=5@running_style==1&phase<=1&blocked_side_continuetime>=2&accumulatetime>=5,,,目標速度,0.35,,,,,3,,,,,,,,,,,,,,201271|トップランナー
201272,,#REF!,先頭プライド,レース序盤または中盤に追い抜かれるか競り合ったとき速度がわずかに上がる＜作戦・逃げ＞,180,白,,,,,500,217,,,,running_style==1&phase<=1&change_order_onetime>0&accumulatetime>=5@running_style==1&phase<=1&blocked_side_continuetime>=2&accumulatetime>=5,,,目標速度,0.15,,,,,3,,,,,,,,,,,,,,201272|先頭プライド
201281,,#REF!,じゃじゃウマ娘,上り坂で疲れにくくなる＜作戦・逃げ＞,180,金,,,勢い任せ,,500,508,,,,running_style==1&slope==1&accumulatetime>=10,,,回復,0.055,,,,,,,,,,,,,,,,,,,201281|じゃじゃウマ娘
201282,,#REF!,勢い任せ,上り坂でわずかに疲れにくくなる＜作戦・逃げ＞,180,白,,,,,500,217,,,,running_style==1&slope==1&accumulatetime>=10,,,回復,0.015,,,,,,,,,,,,,,,,,,,201282|勢い任せ
